"","ModelNumber","modelName","variable","effect","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC"
"47",11,"MAP Jan-Feb Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0557093268565406,0.00972738365158393,0.120004380827308,3400,NA
"48",11,"MAP Jan-Feb Tundra rate vs rate","units","residual",0.345474606544331,0.292376681420339,0.402799633477036,3262.68290314163,NA
"49",12,"MAP Jan-Feb Savanna rate vs rate","(Intercept)","fixed",0.364201030074175,0.175412816229255,0.535836457100231,3400.00000000001,0.000588235294117556
"50",12,"MAP Jan-Feb Savanna rate vs rate","estimate","fixed",0.0320300797055766,-0.00356917250610422,0.0647613735782215,3400.00000000001,0.0729411764705883
"51",12,"MAP Jan-Feb Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.166701654961771,0.0635662450776477,0.290798926936524,3175.62427847056,NA
"52",12,"MAP Jan-Feb Savanna rate vs rate","units","residual",0.594989005918051,0.537818272969598,0.657947090871302,3400,NA
"53",13,"MAP Jun-Jul Tundra rate vs rate","(Intercept)","fixed",0.179465862255432,0.0477468507233425,0.306374947307631,3400,0.00941176470588245
"54",13,"MAP Jun-Jul Tundra rate vs rate","estimate","fixed",0.00683521426166519,-0.0685096883607912,0.0926112859160639,3399.99999999999,0.869411764705882
"55",13,"MAP Jun-Jul Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0593779628241854,0.00812459799139656,0.124330224775618,3400,NA
"56",13,"MAP Jun-Jul Tundra rate vs rate","units","residual",0.34557006167907,0.290778948113145,0.402138995862871,3400,NA
"57",14,"MAP Jun-Jul Savanna rate vs rate","(Intercept)","fixed",0.380441510400091,0.200672886014218,0.557154373498634,3399.99999999999,0.000294117647058824
"58",14,"MAP Jun-Jul Savanna rate vs rate","estimate","fixed",-0.00439829722000143,-0.0367830964896712,0.0300188332184916,3400,0.8
"59",14,"MAP Jun-Jul Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.163058111221681,0.0708856914178569,0.28948676352073,3035.85538091217,NA
"60",14,"MAP Jun-Jul Savanna rate vs rate","units","residual",0.598213934816147,0.536614545598125,0.657972314039063,3400,NA
"61",15,"MAT Min Tundra rate vs rate","(Intercept)","fixed",0.272210308376238,0.123635551015468,0.399500883431756,3806.85485190376,0.000588235294117556
"62",15,"MAT Min Tundra rate vs rate","estimate","fixed",-1.16027905605747,-1.82852903385356,-0.557026899696211,3693.37167472852,0.000588235294117647
"63",15,"MAT Min Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0596700954785646,0.0133525246348964,0.123195729465444,3400.00000000001,NA
"64",15,"MAT Min Tundra rate vs rate","units","residual",0.330012224975777,0.27771187087581,0.382818836553522,3624.41521612135,NA
"65",16,"MAT Min Savanna rate vs rate","(Intercept)","fixed",0.38407499154065,0.218522937961097,0.570989686796565,3400.00000000001,0.000588235294117556
"66",16,"MAT Min Savanna rate vs rate","estimate","fixed",-0.191738726872989,-1.61394613579614,1.16665718943477,3553.03015374518,0.810588235294118
"67",16,"MAT Min Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.163341690704276,0.0685138978508568,0.288137883774771,3228.41599036583,NA
