"","variable","Plot.ID","estimate"
"208","map","s286",1.75219748360767
"209","map","s287",1.98369952191363
"210","map","s288",2.32197815612124
"211","map","s289",1.49542130690351
"212","map","s29",-5.12272730740608
"213","map","s290",1.35256404667107
"214","map","s291",1.52930398458961
"215","map","s292",2.48443224141879
"216","map","s293",2.46978021978015
"217","map","s294",2.42902933896237
"218","map","s295",2.4194139333871
"219","map","s296",0.883741285417551
"220","map","s297",0.55244756578569
"221","map","s298",0.524475644518478
"222","map","s299",0.475815926398453
"223","map","s3",0.099415133292216
"224","map","s30",-5.12272730740608
"225","map","s300",0.344988402786788
"226","map","s301",0.286713126656056
"227","map","s302",0.288752882630662
"228","map","s303",0.182983705213825
"229","map","s304",0.189685234656673
"230","map","s305",0.149766881982732
"231","map","s306",-0.012820543942815
"232","map","s307",0.860431257661495
"233","map","s308",0.0236012785584206
"234","map","s309",-0.0603146853147557
"235","map","s31",-5.12272730740608
"236","map","s310",-0.0576922410018659
"237","map","s311",-0.162296028404063
"238","map","s312",0.757867172881512
"239","map","s313",0.706293559574648
"240","map","s314",0.703379971164151
"241","map","s315",0.665792478548121
"242","map","s316",0.615093177848807
"243","map","s317",0.597027932013712
"244","map","s318",0.93901098481902
"245","map","s319",0.907142850854901
"246","map","s32",-5.12272730740608
"247","map","s320",0.872344335618916
"248","map","s321",0.995238107115366
"249","map","s322",0.93296702458309
"250","map","s323",0.890293077322159
"251","map","s324",0.964102610912958
"252","map","s325",0.943223427154213
"253","map","s326",1.07179482847781
"254","map","s327",0.959157478416367
"255","map","s328",1.09230770069165
"256","map","s329",0.896336960006551
"257","map","s33",0.962468621963837
"258","map","s330",1.06263736263737
"259","map","s331",1.00054946522137
"260","map","s332",1.12399265163549
"261","map","s333",1.07838833148664
"262","map","s334",1.03498174227202
"263","map","s335",1.23901093661132
"264","map","s336",1.15970701070934
"265","map","s337",1.16538458604081
"266","map","s338",1.18553117605358
"267","map","s339",1.16684980287658
"268","map","s34",0.253543502424466
"269","map","s340",0.862637391981192
"270","map","s341",1.24505491571114
"271","map","s342",1.19450546725768
"272","map","s343",1.17197797167434
"273","map","s344",1.23663002894477
"274","map","s345",1.1717949311812
"275","map","s346",0.944505490313526
"276","map","s347",0.899267366430267
"277","map","s348",0.876190455929269
"278","map","s349",0.934798557155741
"279","map","s35",0.0812408022167301
"280","map","s350",0.896886479723589
"281","map","s351",0.893452375275726
"282","map","s352",0.444940485273124
"283","map","s353",0.259821469443218
"284","map","s354",0.306845249448542
"285","map","s355",0.337500013623959
"286","map","s356",0.413690546580759
"287","map","s357",0.300000108991383
"288","map","s358",0.30446426527845
"289","map","s359",0.349404661996071
"290","map","s36",0.253543502424466
"291","map","s360",0.286011879784763
"292","map","s361",0.297023725509685
"293","map","s362",0.341369015829949
"294","map","s363",0.481845235824618
"295","map","s364",0.475595358439884
"296","map","s365",0.485714299338239
"297","map","s366",0.374107142857178
"298","map","s367",0.438987943104371
"299","map","s368",0.461309453419311
"300","map","s369",0.468750000000036
"301","map","s37",0.062564055613983
"302","map","s370",-0.908333451407367
"303","map","s371",-0.899702153887149
"304","map","s372",-0.878571619306368
"305","map","s373",-0.848214231218679
"306","map","s374",0.770535734721655
"307","map","s375",0.511011961528285
"308","map","s376",0.766666732515669
"309","map","s377",0.900595256260533
"310","map","s378",0.839880936486442
"311","map","s379",0.762797614506369
"312","map","s38",0.404660135252862
"313","map","s380",0.822321401323649
"314","map","s381",0.683333247048573
"315","map","s382",0.599107279096378
"316","map","s383",0.560416705267818
"317","map","s384",0.331135479434524
"318","map","s385",0.421428615444331
"319","map","s386",0.425091523390574
"320","map","s387",0.443772865127755
"321","map","s388",0.434432241418883
"322","map","s389",0.463736232296476
"323","map","s39",0.383903158744466
"324","map","s390",0.437545770079248
"325","map","s391",0.33150184337911
"326","map","s392",0.345787498977178
"327","map","s393",0.350366319928868
"328","map","s394",0.375274771386469
"329","map","s395",0.386996401273307
"330","map","s396",0.40146520635586
"331","map","s397",0.401831505324836
"332","map","s398",0.400915812398072
"333","map","s399",0.87765568743698
"334","map","s4",0.099415133292216
"335","map","s40",0.333078899080791
"336","map","s400",1.00457876855203
"337","map","s401",0.984615413959233
"338","map","s402",1.03791211306396
"339","map","s403",1.15860796917929
"340","map","s404",1.24102555159687
"341","map","s405",1.18864468585006
"342","map","s406",1.40787534608949
"343","map","s407",1.37930396782176
"344","map","s408",1.31684976095684
"345","map","s409",0.890109789502519
"346","map","s41",0.333078899080791
"347","map","s410",0.907509059696437
"348","map","s411",0.911172187721363
"349","map","s412",0.932234476948859
"350","map","s413",0.947618949806326
"351","map","s414",0.955128185565682
"352","map","s415",0.980952302702209
"353","map","s416",0.985164717789562
"354","map","s417",-0.421978009402008
"355","map","s418",-0.458058539589586
"356","map","s419",-0.427289321396286
"357","map","s42",0.148089331101599
"358","map","s420",-0.446886448283685
"359","map","s421",-0.450915913005352
"360","map","s422",-0.410256400475048
"361","map","s423",-0.439743553413048
"362","map","s424",-0.433882807637221
"363","map","s425",-1.91300375802189
"364","map","s426",-0.648351380065285
"365","map","s427",-1.14871822818301
"366","map","s428",-1.42454221956033
"367","map","s429",-1.81684994540385
"368","map","s43",-0.228571430005523
"369","map","s430",-1.64432217105415
"370","map","s431",-0.996520526592603
"371","map","s432",-0.936996275514073
"372","map","s433",-0.678021994789918
"373","map","s434",-0.595787651984292
"374","map","s435",0.879761941092373
"375","map","s436",0.902380779811338
"376","map","s437",0.940476315362131
"377","map","s438",0.918452317374119
"378","map","s439",0.887797771181401
"379","map","s44",-0.228571430005523
"380","map","s440",0.873809460231257
"381","map","s441",0.888095399311632
"382","map","s442",0.888392836707004
"383","map","s443",0.899702303750199
"384","map","s444",0.888095317568119
"385","map","s445",0.889285598482429
"386","map","s446",0.877380936486402
"387","map","s447",0.798809480667135
"388","map","s448",0.844345229012646
"389","map","s449",0.848214278902346
"390","map","s45",-1.34752313320606
"391","map","s450",0.799107047489729
"392","map","s451",0.866071401323612
"393","map","s452",0.830357115609322
"394","map","s453",0.848214203970794
"395","map","s454",0.851785659790056
"396","map","s455",0.871726172310986
"397","map","s456",0.86190481185915
"398","map","s457",0.894642857142877
"399","map","s458",0.925595215388726
"400","map","s459",0.904761954716294
"401","map","s46",-1.34752313320606
"402","map","s460",0.908928659984033
"403","map","s461",1.00238097395214
"404","map","s462",0.995535772187353
"405","map","s463",0.972023861748815
"406","map","s464",1.04136902945381
"407","map","s465",0.880059535162776
"408","map","s466",0.937202375275734
"409","map","s467",0.903869165692994
"410","map","s468",0.918749996594007
"411","map","s469",0.848809528350819
"412","map","s47",0.521428734915165
"413","map","s470",1.06488095011029
"414","map","s471",0.845238048689689
"415","map","s472",1.05625001021792
"416","map","s473",0.963392754963457
"417","map","s474",0.964880994388023
"418","map","s475",1.06607140472956
"419","map","s476",0.999107125827231
"420","map","s477",0.996428581646498
"421","map","s478",0.959226145063115
"422","map","s479",0.111904713085686
"423","map","s48",0.46969085874096
"424","map","s480",0.179166630336179
"425","map","s481",0.216071431977378
"426","map","s482",0.263095215388671
"427","map","s483",0.187797621318242
"428","map","s484",0.170535727909604
"429","map","s485",0.198214265278374
"430","map","s486",0.804395614875555
"431","map","s487",0.969597089159636
"432","map","s488",0.982234523060574
"433","map","s489",0.980952424269475
"434","map","s49",0.318716417974041
"435","map","s490",0.997619075565567
"436","map","s491",1.01886447026181
"437","map","s492",1.02472528730122
"438","map","s493",1.00384613707827
"439","map","s494",1.0267399295346
"440","map","s495",0.811172093401911
"441","map","s496",0.811538484594337
"442","map","s497",0.836813247596838
"443","map","s498",0.840109890109904
"444","map","s499",0.943589728219184
"445","map","s5",0.099415133292216
"446","map","s50",0.186752138708392
"447","map","s500",-0.992857134473165
"448","map","s501",-1.01025660588188
"449","map","s502",-1.0349817716158
"450","map","s503",-0.99963382259827
"451","map","s504",-1.01776553981904
"452","map","s505",-0.887362696050261
"453","map","s506",-1.15622721242377
"454","map","s507",-1.06318677126703
"455","map","s508",-1.17399261809964
"456","map","s509",-1.04652015769872
"457","map","s51",0.186752138708392
"458","map","s510",-1.16666642912139
"459","map","s511",-1.10109878372357
"460","map","s512",-1.1282051337944
"461","map","s513",-1.05769210647748
"462","map","s514",1.31742410659792
"463","map","s515",1.63030293204568
"464","map","s516",1.61742414994674
"465","map","s517",1.80454545454544
"466","map","s518",1.83636367104268
"467","map","s519",1.99545449343592
"468","map","s52",-0.526809100289631
"469","map","s520",1.91742427132344
"470","map","s521",2.06439396251329
"471","map","s522",1.96742411526764
"472","map","s523",2.10530308810144
"473","map","s524",2.21060612418431
"474","map","s525",1.25303025679157
"475","map","s526",2.053787873008
"476","map","s527",2.17272734208536
"477","map","s528",2.07121207497333
"478","map","s529",2.22045463215216
"479","map","s53",0.123610989252729
"480","map","s530",2.12121191891753
"481","map","s531",2.36590896953231
"482","map","s532",2.59166639501393
"483","map","s533",2.56287871274075
"484","map","s534",2.45227272727267
"485","map","s535",2.61363639831536
"486","map","s536",1.17803029147064
"487","map","s537",2.45151518041431
"488","map","s538",2.40909090909085
"489","map","s539",2.66515147469254
"490","map","s54",0.815151445793186
"491","map","s540",2.5196969812566
"492","map","s541",2.40151505903758
"493","map","s542",2.3219696391712
"494","map","s543",2.65075733878389
"495","map","s544",2.40530293204562
"496","map","s545",2.38787869540122
"497","map","s546",1.35227264924485
"498","map","s547",1.42348494096237
"499","map","s548",1.48636358434504
